,Title,State,Created_at,Updated_at,Closed_at,Author,Details,Comments,Id
530,Achievement update,open,2019-05-12T08:51:44Z,2019-05-12T16:56:43Z,,CONTRIBUTOR,"<!-- Before you continue, please change ""base: stable"" to ""base: master"" and
     enable the setting ""[√] Allow edits from maintainers."" when creating your
     pull request if you have not already enabled it. -->

<!-- Note: Lines with this <!-- syntax are comments and will not be visible in
     your pull request. You can safely ignore or remove them. -->

### Pull Request Prelude

<!-- Thank you for working on improving Hercules! -->
<!-- Please complete these steps and check the following boxes by putting an `x`
     inside the [brackets] before filing your Pull Request. -->

- [x] I have followed [proper Hercules code styling][code].
- [x] I have read and understood the [contribution guidelines][cont] before making this PR.
- [x] I am aware that this PR may be closed if the above-mentioned criteria are not fulfilled.

### Changes Proposed

Implemented the following new achievement types:
1. ACH_ZENY_SPEND_VENDING - Spend a specific amount of zeny in one transaction to a vending player)
2. ACH_ZENY_SPEND_VENDING_TOTAL - (Accumulative) Spend a specific amount of zeny in total to a vending player
3. ACH_PET_INTIMACY - (Accumulative) Successfully reach a specific pet intimacy
4. ACH_PET_RUNAWAY - (Accumulative) Successfully make a pet runaway

Updated the following achievement criteria:
1. MobId criteria now accepts 0 as valid value for a wildcard achievement monster class

Update the following in script constant:
1. Moved Achievement types from constants.conf to script.c

<!-- Describe the changes that this pull request makes. -->

**Issues addressed:** <!-- Write here the issue number, if any. -->


<!-- You can safely ignore the links below:  -->

[cont]: https://github.com/HerculesWS/Hercules/blob/master/CONTRIBUTING.md
[code]: https://github.com/HerculesWS/Hercules/wiki/Coding-Style
","

<!-- Reviewable:start -->
This change is [<img src=""https://reviewable.io/review_button.png"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.io/reviews/herculesws/hercules/2470)
<!-- Reviewable:end -->
",7551429
531,"Missing addToSKILLDB, getFromSKILLDB and removeFromSKILLDB for plugins",open,2019-04-13T17:59:15Z,2019-04-13T17:59:15Z,,CONTRIBUTOR,"http://herc.ws/board/topic/11296-onpcuseskillevent/?do=findComment&comment=91025
missing `addToSKILLDB`, `getFromSKILLDB` and `removeFromSKILLDB` for plugins
if this is added, there's no need for the vector anyway

related topic/issue/commit
http://herc.ws/board/topic/7161-plugin-missing-hook-to-struct-item_data-and-mob_data/
https://github.com/HerculesWS/Hercules/pull/362
https://github.com/HerculesWS/Hercules/pull/416",,7551429
532,Loyal pet has extra bonus,open,2019-04-12T21:44:34Z,2019-04-15T02:15:43Z,,CONTRIBUTOR,"**Is your feature request related to a problem? Please describe.**
https://rathena.org/board/topic/105838-renewal-pet-bonus-implementation/?tab=comments#comment-359384

**Describe the solution you'd like**
[rathena pet_db.yml](https://github.com/rathena/rathena/blob/master/db/re/pet_db.yml)
```yml
  - Mob: PORING
    TameItem: Unripe_Apple
    EggItem: Poring_Egg
    EquipItem: Backpack
    FoodItem: Apple_Juice
    Fullness: 3
    IntimacyFed: 50
    CaptureRate: 2000
    Script: >
      .@i = getpetinfo(PETINFO_INTIMATE);
      
      if( .@i >= PET_INTIMATE_LOYAL ){
        bonus bLuk,2;
        bonus bCritical,1;
      }
    Evolution:
      - Target: MASTERING
        ItemRequirements:
          - Item: Leaf_Of_Yggdrasil
            Amount: 10
          - Item: Unripe_Apple
            Amount: 3
```

**Describe alternatives you've considered**
not really sure about just adding 
```
	EquipScript: <""
		bonus(bLuk, 2);
		bonus(bCritical, 1);
		if ( getpetinfo(PETINFO_INTIMACY) >= PET_INTIMATE_LOYAL )
			bonus(bLuk, 1);
	"">
```
maybe something like ... ?
```
	EquipScript: <""
		.@intimacy = getpetinfo(PETINFO_INTIMACY);
		if ( .@intimacy >= PET_INTIMATE_LOYAL ) {
			bonus(bLuk, 3);
			bonus(bCritical, 1);
		} else if ( .@intimacy >= PET_INTIMATE_CORDIAL ) {
			bonus(bLuk, 2);
			bonus(bCritical, 1);
		}
	"">
```

**Additional context**
I think this is official, otherwise rathena wont do it
```lua
	[9001] = {
		unidentifiedDisplayName = ""Poring Egg"",
		unidentifiedResourceName = ""수속성알"",
		unidentifiedDescriptionName = {
		},
		identifiedDisplayName = ""Poring Egg"",
		identifiedResourceName = ""수속성알"",
		identifiedDescriptionName = {
			""An egg in which a Poring Cute Pet rests."",
			""Can be hatched by using a ^6666CCPet Incubator^000000."",
			""If pet intimacy is Cordial, LUK +2, CRIT +1."",
			""If pet intimacy is Loyal, LUK +3, CRIT +1."",
			""^ffffff_^000000"",
			""Class:^6666CC Monster Egg^000000""
		},
		slotCount = 0,
		ClassNum = 0,
		costume = false
	},
```","Will the bonus stack? 

Hmm my pre re database doesnt have the same pet_db but re does . . . great ",7551429
533,pets after evolve by pet evolution are acting like monsters,open,2019-04-12T16:29:23Z,2019-12-26T08:48:23Z,,CONTRIBUTOR,"**Describe the bug**
pets after evolve by pet evolution are acting like monsters

**To Reproduce**
1. `@makeegg 1002` create a poring egg
2. `@hatch` hatch the poring egg
3. `@petfriendly 1000` intimacy to max
4. `@item Leaf_Of_Yggdrasil 10` `@item Unripe_Apple 3` and select pet evolution to Mastering
5. `@hatch` the mastering egg
-> now your mastering is uncontrollable

**Expected behavior**
this mastering pet should behave like poring

**Screenshots**
none

**System specs (please complete the following information):**
 - OS: Windows 7 Service Pack 1 Ultimate
 - Hercules Version: 2019-04-07
 - Packet version: 20180620
 - Mode: Renewal
 - Client type: ~[2018-06-20eRagexeRE](https://rathena.org/board/topic/117168-packetver-20180620-client-release-2018-06-20eragexere/)~ [2019-02-20aRagexeRE](http://nemo.herc.ws/clients/2019-02-20aRagexeRE/) tested both


**Plugins used or source modifications**
none

**Additional context**
_Originally posted by @AnnieRuru in https://github.com/HerculesWS/Hercules/pull/2428#issuecomment-482582880_",I'll work on that. Additionally some pet bonuses needs to be updated.,7551429
534,Cell Basilica block monster attack but didn't block monster entering/use skill.,open,2019-04-02T14:46:01Z,2020-01-14T09:18:55Z,,MEMBER,"**Describe the bug**
Monster that entered basilica area doesn't chase player who left the basilica area.

**To Reproduce**
Steps to reproduce the behavior:
1. Load this npc script
```
map,45,45,4	script	Sample	4_F_KAFRA1,{
	end;
	
	OnInit:
		getmapxy(.@map$, .@x, .@y, UNITTYPE_NPC);
		.@range = 3;
		setcell(.@map$, (.@x - .@range), (.@y - .@range), (.@x + .@range), (.@y + .@range), cell_basilica, true);
		end;
}
```
2. summon any aggresive monsters _(I tried with MVP monster)_
3. allow the monster to chase the character and enter the basilica area
4. move the character out from basilica area

**Expected behavior**
1. ~Monster shall be pushed away or refrain from entering basilica area. _(not sure if MVP should be refrain from entering too, skill description seem allow it)_~ [Any non-boss monsters in a 5 X 5 area next to the caster when Basilica's cast time is complete will be instantly pushed out of the area.](https://irowiki.org/wiki/Basilica)
2. If monster currently within the basilica area, it shall chase any characters if the they aren't within basilica area (within monster seen/chase/attack range).
3. ~Monster shouldn't able to cast/place AOE skills within the basilica area, although it doesn't deal any damage.~ [AOE Skills seem like still possible, Ex: Venom Splasher](https://irowiki.org/wiki/Basilica)

**Screenshots**
![pic](https://i.imgur.com/6F07PsB.png)

**System specs:**
 - OS:  window 10
 - Hercules Version https://github.com/HerculesWS/Hercules/commit/e1e951c805916853e55ff5b9ce0531e0cf483ebf
 - Mode: renewal
 - Packet version: 20180620
 - Client type: RE

**Plugins used or source modifications**
None

**Additional context**
Probably related Issues : https://github.com/HerculesWS/Hercules/issues/789 and https://github.com/HerculesWS/Hercules/issues/1991

Not sure if this is the actual behavior that currently work in kRO. ","MVPs interaction with Basilica is bugged until this is merged:
https://github.com/HerculesWS/Hercules/pull/2612",7551429
535,Achievement Parents Bug.,open,2019-04-01T03:10:29Z,2019-04-01T07:57:12Z,,NONE,"**Describe the bug**
Achievement with parents, Its simple just try to tame a Poring and the date of achievement will show 1970.1.1 and cannot redeem the reward.

**To Reproduce**
Steps to reproduce the behavior:
1. Clean herc
2. Clean client
3. Tame poring
4. See achievement date.

**Screenshots**
https://imgur.com/a/muYLQOd

**System specs (please complete the following information):**
 - OS: Windows 10
 - Hercules Version: Latest
 - Mode: Pre-renewal
 - Packet version: 20150916
 - Client type: RE","is this what they call **a race condition** ?
<details>
<summary>I tested with this diff</summary>

```diff
 src/map/achievement.c | 19 +++++++++++--------
 1 file changed, 11 insertions(+), 8 deletions(-)

diff --git a/src/map/achievement.c b/src/map/achievement.c
index 057ea29c3..709d27b05 100644
--- a/src/map/achievement.c
+++ b/src/map/achievement.c
@@ -159,7 +159,7 @@ static bool achievement_check_complete(struct map_session_data *sd, const struct
 	for (i = 0; i < VECTOR_LENGTH(ad->objective); i++)
 		if (ach->objective[i] < VECTOR_INDEX(ad->objective, i).goal)
 			return false;
-
+ShowDebug( ""check_complete '%s'\n"", ad->name );
 	return true;
 }
 
@@ -180,23 +180,26 @@ static void achievement_progress_add(struct map_session_data *sd, const struct a
 
 	Assert_retv(progress != 0);
 	Assert_retv(obj_idx < VECTOR_LENGTH(ad->objective));
-
+ShowDebug( ""run achievement_progress_add '%s'\n"", ad->name );
 	if ((ach = achievement->ensure(sd, ad)) == NULL)
 		return;
-
+ShowDebug( ""before ach->completed_at '%s'\n"", ad->name );
 	if (ach->completed_at)
 		return; // ignore the call if the achievement is completed.
-
+ShowDebug( ""after ach->completed_at '%s'\n"", ad->name );
 	// Check and increment the objective count.
 	if (!ach->objective[obj_idx] || ach->objective[obj_idx] < VECTOR_INDEX(ad->objective, obj_idx).goal) {
 		ach->objective[obj_idx] = min(progress + ach->objective[obj_idx], VECTOR_INDEX(ad->objective, obj_idx).goal);
-
+ShowDebug( ""before if (achievement->check_complete(sd, ad)) { '%s'\n"", ad->name );
 		// Check if the Achievement is complete.
 		if (achievement->check_complete(sd, ad)) {
+ShowDebug( ""inside if (achievement->check_complete(sd, ad)) { 1. '%s' %d %d\n"", ad->name, ad->id, ach->completed_at );
 			achievement->validate_achieve(sd, ad->id);
+ShowDebug( ""inside if (achievement->check_complete(sd, ad)) { 2. '%s' %d %d\n"", ad->name, ad->id, ach->completed_at );
 			ach->completed_at = time(NULL);
+ShowDebug( ""inside if (achievement->check_complete(sd, ad)) { 3. '%s' %d %d\n"", ad->name, ad->id, ach->completed_at );
 		}
-
+ShowDebug( ""ach->completed_at '%s' %d %d\n"", ad->name, ad->id, ach->completed_at );
 		// update client.
 		clif->achievement_send_update(sd->fd, sd, ad);
 	}
@@ -219,7 +222,7 @@ static void achievement_progress_set(struct map_session_data *sd, const struct a
 
 	Assert_retv(progress != 0);
 	Assert_retv(obj_idx < VECTOR_LENGTH(ad->objective));
-
+ShowDebug( ""Run achievement_progress_set '%s'\n"", ad->name );
 	if (progress >= VECTOR_INDEX(ad->objective, obj_idx).goal) {
 
 		if ((ach = achievement->ensure(sd, ad)) == NULL)
@@ -885,7 +888,7 @@ static void achievement_validate_achieve(struct map_session_data *sd, int achid)
 
 	nullpo_retv(sd);
 	nullpo_retv(ad);
-
+ShowDebug( ""run achievement_validate_achieve '%d'\n"", achid );
 	if (sd->achievements_received == false)
 		return;
```

</details>

display showdebug as
```
[Debug]: run achievement_progress_add 'Poring - taming'
[Debug]: before ach->completed_at 'Poring - taming'
[Debug]: after ach->completed_at 'Poring - taming'
[Debug]: before if (achievement->check_complete(sd, ad)) { 'Poring - taming' 
[Debug]: check_complete 'Poring - taming'
[Debug]: inside if (achievement->check_complete(sd, ad)) { 1. 'Poring - taming' 230101 0
[Debug]: run achievement_validate_achieve '230101'
[Debug]: Run achievement_progress_set 'Poring is Love'
[Debug]: Run achievement_progress_set 'Achieve Level 1'
[Debug]: check_complete 'Achieve Level 1'
[Debug]: run achievement_validate_achieve '240001'
[Debug]: check_complete 'Achieve Level 1'
[Debug]: inside if (achievement->check_complete(sd, ad)) { 2. 'Poring - taming'
230101 0
[Debug]: inside if (achievement->check_complete(sd, ad)) { 3. 'Poring - taming'
230101 1554104302
[Debug]: ach->completed_at 'Poring - taming' 230101 1554104302
[Debug]: check_complete 'Poring - taming'
```
why does the 'Achieve Level 1' cuts in to this function ?

and also when read the `char_achievements` table, only 1 achievement is mark as complete
which is, not surprisingly, achievement ID 240001, which is 'Achieve Level 1'

<details>
<summary>the result get from `char_achievements` table</summary>

char_id | ach_id | completed_at | rewarded_at | obj_0 | obj_1 | obj_2 | obj_3 | obj_4 | obj_5 | obj_6 | obj_7 | obj_8 | obj_9
-- | -- | -- | -- | -- | -- | -- | -- | -- | -- | -- | -- | -- | --
150000 | 230101 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
150000 | 230100 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
150000 | 240001 | 1554104302 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
150000 | 240002 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
150000 | 240003 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
150000 | 240004 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
150000 | 240005 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
150000 | 240006 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
150000 | 240007 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
150000 | 240008 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
150000 | 240009 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
150000 | 240010 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
150000 | 240011 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
150000 | 240012 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
150000 | 240013 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
150000 | 240014 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
150000 | 240015 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
150000 | 240016 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
150000 | 240017 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
150000 | 240018 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
150000 | 240019 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
150000 | 240020 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
150000 | 220023 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
150000 | 220024 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
150000 | 220025 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
150000 | 220026 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
150000 | 220027 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
150000 | 220028 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
150000 | 220029 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0

</details>

perhaps some function has to rewrite to eliminate this race condition ...

so yes, if there are 2 or more achievement update at the same time,
only 1 achievement will set the `ach->completed_at` value

PS: truncate the `char_achievements` table ...",7551429
536,(WIP) Add skill_check_invalid_level for plugin,open,2019-03-25T13:30:50Z,2019-04-10T11:22:24Z,,CONTRIBUTOR,"[cont]: https://github.com/HerculesWS/Hercules/blob/master/CONTRIBUTING.md
[code]: https://github.com/HerculesWS/Hercules/wiki/Coding-Style
### Pull Request Prelude
- [x] I have followed [proper Hercules code styling][code].
- [x] I have read and understood the [contribution guidelines][cont] before making this PR.
- [x] I am aware that this PR will be closed if the above-mentioned criteria are not fulfilled.

### Issues addressed
` skill TF_HIDING, -1;` <-- actually gives you hiding skill level 255

### Changes Proposed
Add skill_check_invalid_level for plugin
http://herc.ws/board/topic/16616-portal-skill/?do=findComment&comment=91018

### Affected Branches
* Master

### Known Issues and TODO List
none","For example in ``skill_get_range``
But need check all herc code what this arrays never used directly as ``array[skill_level]``",7551429
537,Delay on skill and walk,open,2019-03-25T07:32:30Z,2019-03-25T09:06:10Z,,NONE,"**Describe the bug**
Herc: The next skill will only be activated AFTER the previous skill has finished its casting time.

**Expected behavior**
Official: When your character is about to finish casting it's recent skill, (like the picture shown below) and you prompted to use a new skill by pressing its corresponding hotkey even before it finished it's casting, it will automatically be casted right after your recent skill.

Official Video: https://youtu.be/MR-RLcTnfqA

Screenshot:
![1](https://user-images.githubusercontent.com/4656578/54901989-12ce6580-4f13-11e9-9014-b6831cbd5eea.jpg)

Notes:
	- Also, the Skill being casted is about 95%~ complete and you prompted your character to WALK, its going to WALK RIGHT AWAY. (Maybe because it only reads a command AFTER you fully used/casted a skill)
	- Ground skills are good. You can compare the Ground Skills to Self-Skills (with no delay skill like Energy Coat, CH_SOULCOLLECT etc.) for you guys to reproduce the bug easily.
	- The ""95%"" casting is only based on my observation wherein you can follow up a next skill after the cast time of your recent skill. (Again, by clicking the desired skill to be used/casted before it finished its casting)
",I believe hercules behavior was done to prevent 3rd party hack ....,7551429
538,Deprecate *getunitname script command,open,2019-02-27T18:17:16Z,2019-03-02T21:04:36Z,,CONTRIBUTOR,"After I give it some thought, I think better split the `*getunitname` deprecation out from https://github.com/HerculesWS/Hercules/pull/2391

-----------------------------------

[cont]: https://github.com/HerculesWS/Hercules/blob/master/CONTRIBUTING.md
[code]: https://github.com/HerculesWS/Hercules/wiki/Coding-Style
### Pull Request Prelude
- [x] I have followed [proper Hercules code styling][code].
- [x] I have read and understood the [contribution guidelines][cont] before making this PR.
- [x] I am aware that this PR will be closed if the above-mentioned criteria are not fulfilled.

### Issues addressed
we have 2 script command do the same thing, `*rid2name` and `*getunitname`

### Changes Proposed
deprecate `*getunitname` because rid2name has been exist since eathena times
also minor fix rid2name to support elementals

### Affected Branches
* Master

### Known Issues and TODO List
we have to decide which one to deprecate,
better don't have 2 script commands do exact same thing again, like this https://github.com/HerculesWS/Hercules/pull/2089","..... I was lost in making getmercinfo/getpetinfo/gethominfo/geteleminfo,

actually I want to keep both

getunitname will be real time name, and rid2name will be database name

example 1.
if player having `@fakename`,
getunitname will display fakename
rid2name will display real character name

example 2
`monster(""this"", -1,-1,""BOSSS"",PORING,1)`
getunitname will display `BOSSS`
rid2name will display `Poring`

I read through the source code and found getunitname call the function status_get_name,
which was use in clif ..... to display in client-side

.... another thing worth mention
DO NOT use `getnameditem Knife, getunitname(getcharid(CHAR_ID_ACCOUNT));`
because if the player under `@fakename`,
`*getunitname` script command will return fakename of the character
has to use rid2name


_..... ok go back complete my getpetinfo script command ...._
scrap this one, redo the above
https://github.com/AnnieRuru/customs/blob/master/plugin/rid2name.diff",7551429
539,Client still crashes on disguise (party window),open,2019-02-27T07:57:37Z,2019-10-05T19:02:41Z,,NONE,"**Describe the bug**
Client still crashes when party member are in Disguise and you check party-windows.

**To Reproduce**
Steps to reproduce the behavior:
1. 2 players on party.
2. Player A: @disguise Poring
3. Player B: While Alt+Z, Walk far on the screen without seeing player A, then go Back then do Alt+Z twice.
4. See error

**Expected behavior**
I think its the HP bar that makes the client crash.

**System specs (please complete the following information):**
 - OS: Windows 10
 - Hercules Version: Latest
 - Mode: Pre-renewal
 - Packet version: 20150916
 - Client type: RE

**Additional context**
It is related to https://github.com/HerculesWS/Hercules/commit/3e6e76b8c673e99d240a700912eb4d4a68b3be30 But its still bug.
","I did some tests (using 2018-10-02) and **my guess** is that the problem is the objectType we send to clients. If you disguise as a player class, it works fine, but once you disguise as a npc, the problem shows up.

disguising calls `clif_spawn` which calls `clif_spawn_unit`. If you change `p.objecttype = clif->bl_type(bl);` to always send the object as a ""player"", the HP bar and party window keeps working, but everybody will see your character as a novice (probably because the client can't find the monster ID as a player job, so it uses the default sprite)

The HP bar going to 0 when you undisguise seems to be fixable if you call `clif->party_hp` after `clif->spawn` in `pc->disguise`. But this doesn't fix the real problem.",7551429
540,Documentation and warnings related to mapflags scripts commands,open,2019-02-25T18:59:48Z,2019-03-08T12:31:56Z,,NONE,"**Describe the bug**
Documentation of commands like ```setmapflag```, ```gatmapflag``` and ```removemapflag``` specify the use of *mf_xxx* constants in lower case, but if you use lower case they dont do anything. I looked at script.h for those constants and they are all UPPER CASE.

Using those constants in upper case make those commands work, but a warning appears in the terminal/console saying you should use lower case.",for case-sensitivity may refer @MishimaHaruna's https://github.com/HerculesWS/Hercules/issues/685#issuecomment-136308412 for reference.,7551429
541,Add battleconf for party leave behavior,open,2019-02-25T11:35:58Z,2019-02-26T10:22:18Z,,CONTRIBUTOR,"### Pull Request Prelude

- [x] I have followed [proper Hercules code styling][code].
- [x] I have read and understood the [contribution guidelines][cont] before making this PR.
- [x] I am aware that this PR may be closed if the above-mentioned criteria are not fulfilled.

### Changes Proposed

_Note: Was unsure of the best way to go about this._

Some time ago the behavior was changed for when a party leader leaves the party. I feel a config option should have been added to retain the old behavior.

**Old:** Disband the party.
**Current:** Pass the party leader to another player.
**New:** Uncomment `#define PARTY_LEADER_LEAVE` in `src/config/classes/general.h`

Perhaps others can input on a better way to implement a config option.

**Issues addressed:** <!-- Write here the issue number, if any. -->

N/A

[cont]: https://github.com/HerculesWS/Hercules/blob/master/CONTRIBUTING.md
[code]: https://github.com/HerculesWS/Hercules/wiki/Coding-Style
",I changed it to a battleconf option. I don't really understand it all. Let me know what you think.,7551429
542,Job_Super_Novice_E is not supposed to be 3rd job,open,2019-02-23T10:14:56Z,2019-03-10T22:28:07Z,,CONTRIBUTOR,"**To Reproduce**
`@job 4190` change job into Job_Super_Novice_E 
`@bodystyle 1` instantly crash the client


**Describe the bug**
Supposely only 3rd jobs can change body style,
but currently Job_Super_Novice_E (4190) is consider a 3rd class job
`EAJ_SUPER_NOVICE_E:        0x4100`
which break down as
EAJL_THIRD | EAJL_2_1


**Expected behavior**
Asheraf said in discord

> @AnnieRuru that is more of a mistake with super novice, it should be in 2nd jobs category not 3rd (from decompiled aegis, job 23 is 1st class, job 4190 is second class)


**System specs (please complete the following information):**
 - OS: Windows 7 Service Pack 1 Ultimate
 - Hercules Version: 2019-2-11
 - Packet version: 20180620
 - Mode: Renewal
 - Client type: [2018-06-20eRagexeRE](https://rathena.org/board/topic/117168-packetver-20180620-client-release-2018-06-20eragexere/)


**Additional context**
our eaclass() doesn't have EAJL_1 ...
should we make a new one ?
https://github.com/AnnieRuru/customs/blob/master/plugin/ea_super_novice.diff","@AnnieRuru you can create a pr with that temporary fix, but we're keeping this open since the source problem is not fixed.",7551429
543,"Adds UDT_MOBID for getunitdata & setunitdata, which retrieves actual mob id",open,2019-02-21T00:09:56Z,2019-02-28T15:25:30Z,,CONTRIBUTOR,"### Pull Request Prelude

- [x] I have followed [proper Hercules code styling][code].
- [x] I have read and understood the [contribution guidelines][cont] before making this PR.
- [x] I am aware that this PR may be closed if the above-mentioned criteria are not fulfilled.

### Changes Proposed

<!-- Describe the changes that this pull request makes. -->
Adds `UDT_MOBID` for `getunitdata()` and `setunitdata`.

This is necessary because `getunitdata(<Mob GID>, UDT_CLASS)` retrieves the Sprite ID for BL_MOB. Which means if you use it on a mob which was generated using **db\mob_avail.txt**, then you will not get the actual Monster ID.

**Issues addressed:** <!-- Write here the issue number, if any. -->
N/A

<!-- You can safely ignore the links below:  -->

[cont]: https://github.com/HerculesWS/Hercules/blob/master/CONTRIBUTING.md
[code]: https://github.com/HerculesWS/Hercules/wiki/Coding-Style
","I never encounter this problem, so its probably your bad scripting method
should place each group into separated event labels
and if you want to kill all monsters in the map, there are `*killmonsterall` and `*killmonster` with ""All"" flag

custom, so I make a plugin
```
#include ""common/hercules.h""
#include ""map/mob.h""
#include ""map/script.h""
#include ""common/HPMDataCheck.h""

HPExport struct hplugin_info pinfo = {
	""getmonsterlabel"",
	SERVER_TYPE_MAP,
	""0.1"",
	HPM_VERSION,
};

BUILDIN(getmonsterlabel) {
	struct mob_data *md = map->id2md( script_getnum(st,2) );
	if ( !md ) {
		ShowWarning( ""buildin_getmonsterlabel: Error in finding object GID or target GID is not a monster.\n"" );
		return false;
	}
	script_pushconststr( st, md->npc_event );
	return true;
}

HPExport void plugin_init(void) {
	addScriptCommand( ""getmonsterlabel"", ""i"", getmonsterlabel );
}
```
and get the script done as ...
```
prontera,155,185,5	script	qwer	1_F_MARIA,{
	monster ""this"", -1,-1, ""--ja--"", PORING, 10, strnpcinfo(NPC_NAME)+""::Onaaa"";
	monster ""this"", -1,-1, ""--ja--"", POPORING, 10, strnpcinfo(NPC_NAME)+""::Onbbb"";
	end;
Onaaa:
Onbbb:
	end;
}

prontera,160,185,5	script	asdf	1_F_MARIA,{
	.@count = getunits( BL_MOB, .@mobid, false, strnpcinfo(NPC_MAP) );
	for ( .@i = 0; .@i < .@count; ++.@i ) {
//		sscanf getmonsterlabel(.@mobid[.@i]), ""%s::%s"", .@npc_name$, .@label$; // f*cking sscanf doesn't work
//		if ( .@npc_name$ == ""qwer"" ) // alright, let's use regular expression
		if ( getmonsterlabel(.@mobid[.@i]) ~= ""([^:]*)::([A-Za-z_]*)"" )
			if ( $@regexmatch$[1] == ""qwer"" )
				unitkill .@mobid[.@i];
	}
	end;
}
```

by the way this question should be asked on the forum ....",7551429
544,Missing several features for Random Option ,open,2019-02-19T18:49:52Z,2019-08-07T13:48:20Z,,CONTRIBUTOR,"A full list of (Missing) Random Options

- [x] Initial commit for Item Random Option (https://github.com/HerculesWS/Hercules/pull/1598)
- [ ] getitem3/delitem3/countitem3
- [ ] makeitem3
- [ ] rentitem3
- [ ] getitembound3
- [x] Support monster drops with Random Options (https://github.com/HerculesWS/Hercules/pull/2309)
- [ ] getinventorylist/getcartinventorylist <-- I think script.c already done, just not yet update documentation
- [ ] rodex_sendmail3
- [ ] @sold_option_id/@sold_option_val/@sold_option_param from `OnSellItem:` label, `*callshop` script command

btw I don't really have time to do this ... hopefully some kind souls can help out","because `*getinventorylist` script command ignore the missing index in your inventory
just try [my `*getinventorylistidx` script command](http://herc.ws/board/topic/16604-retrieve-inventory-index-getinventorylistidx-delitemidx-equipidx/#comment-90658)",7551429
545,progressbar should allow movement,open,2019-02-15T03:47:26Z,2019-03-08T13:59:01Z,,CONTRIBUTOR,"**Describe the bug**
https://rathena.org/board/topic/118266-npcscriptcont-unexpected-state-2-for-continue-call/?sortby=date

**To Reproduce**
```
prontera,155,185,5	script	F_PetTrader	1_F_MARIA,{
	progressbar """", 5;
//	progressbar_unit """", 5, getnpcid();
}
```

**Expected behavior**
https://github.com/rathena/rathena/issues/1425

**Screenshots**
click on the link above

**System specs (please complete the following information):**
 - OS: Windows 7 Service Pack 1 Ultimate
 - Hercules Version: 2019-2-11
 - Packet version: 20180620
 - Mode: Renewal
 - Client type: [2018-06-20eRagexeRE](https://rathena.org/board/topic/117168-packetver-20180620-client-release-2018-06-20eragexere/)


**Plugins used or source modifications**


**Additional context**
should we emulate official bug ?
although I can tell people going to yell why hercules doesn't allow movement to break free from progressbar","I think kRO changed the behavior later on, like annie commented above:
> I talked to aleos in discord about this issue,
> he said the progressbar behavior has changed since ... dunno when ...

that's another reason that might be a good idea to make it a battle option, as this could be a re-only behavior",7551429
